Entity,Code,Year,5.5.2 - Proportion of women in senior and middle management positions - 13th ICLS (%) - IC_GEN_MGTN
Sweden,SWE,2005,29.13
Sweden,SWE,2006,31.74
Sweden,SWE,2007,31.02
Sweden,SWE,2008,30.82
Sweden,SWE,2009,31.13
Sweden,SWE,2010,31.34
Sweden,SWE,2011,33.52
Sweden,SWE,2012,34.49
Sweden,SWE,2013,35.51
Sweden,SWE,2014,37.45
Sweden,SWE,2015,39.79
Sweden,SWE,2016,39.51
Sweden,SWE,2017,39.45
Sweden,SWE,2018,39.03
Sweden,SWE,2019,41.9
Sweden,SWE,2020,43.09
Sweden,SWE,2021,44.14
Sweden,SWE,2022,42.19
Switzerland,CHE,2000,22.47
Switzerland,CHE,2001,21.42
Switzerland,CHE,2002,24.8
Switzerland,CHE,2003,25.31
Switzerland,CHE,2004,24.81
Switzerland,CHE,2005,24.26
Switzerland,CHE,2006,26.53
Switzerland,CHE,2007,25.78
Switzerland,CHE,2008,25.01
Switzerland,CHE,2009,27.86
Switzerland,CHE,2010,28.08
Switzerland,CHE,2011,28.57
Switzerland,CHE,2012,28.58
Switzerland,CHE,2013,28.06
Switzerland,CHE,2014,28.93
Switzerland,CHE,2015,31.22
Switzerland,CHE,2016,31.18
Switzerland,CHE,2017,29.12
Switzerland,CHE,2018,31.04
Switzerland,CHE,2019,32.56
Switzerland,CHE,2020,31.79
Switzerland,CHE,2021,30.27
Switzerland,CHE,2022,29.88
Tajikistan,TJK,2007,13.85
Tajikistan,TJK,2009,16.3
Tanzania,TZA,2001,11.72
Tanzania,TZA,2006,17.45
Tanzania,TZA,2012,20.55
Tanzania,TZA,2014,17.34
Tanzania,TZA,2020,27.91
Thailand,THA,2000,18.24
Thailand,THA,2007,21.03
Thailand,THA,2010,24.35
Thailand,THA,2013,27.09
Thailand,THA,2014,29.37
Thailand,THA,2015,29.83
Thailand,THA,2016,29.53
Thailand,THA,2017,30.76
Thailand,THA,2018,30.87
Thailand,THA,2019,30.96
Thailand,THA,2020,33.21
Thailand,THA,2021,32.04
Thailand,THA,2022,33.13
Togo,TGO,2017,29.52
Tokelau,TKL,2016,21.09
Tokelau,TKL,2022,36.54
Tonga,TON,2018,40.34
Tonga,TON,2021,31.97
Trinidad and Tobago,TTO,2019,45.25
Trinidad and Tobago,TTO,2020,46.74
Trinidad and Tobago,TTO,2021,43.62
Trinidad and Tobago,TTO,2022,46.55
Tunisia,TUN,2009,18.25
Tunisia,TUN,2010,19.26
Tunisia,TUN,2014,16.69
Tunisia,TUN,2019,25.99
Turkey,TUR,2004,16.52
Turkey,TUR,2005,15.7
Turkey,TUR,2006,17.23
Turkey,TUR,2007,18.05
Turkey,TUR,2008,19.42
Turkey,TUR,2009,20.06
Turkey,TUR,2010,18.76
Turkey,TUR,2011,18.66
Turkey,TUR,2012,14.35
Turkey,TUR,2013,16.57
Turkey,TUR,2014,15.5
Turkey,TUR,2015,14.48
Turkey,TUR,2016,16.73
Turkey,TUR,2017,17.26
Turkey,TUR,2018,16.34
Turkey,TUR,2019,17.52
Turkey,TUR,2020,19.28
Turkey,TUR,2021,20.65
Turkey,TUR,2022,19.64
Tuvalu,TUV,2016,36.72
Tuvalu,TUV,2017,36.7
Tuvalu,TUV,2022,35.66
Uganda,UGA,2012,31.47
Uganda,UGA,2014,24.78
Uganda,UGA,2017,27.5
Uganda,UGA,2019,30.55
Uganda,UGA,2021,27.67
Ukraine,UKR,2018,40.78
Ukraine,UKR,2019,42.44
Ukraine,UKR,2020,43.1
Ukraine,UKR,2021,44.09
United Arab Emirates,ARE,2017,12.17
United Arab Emirates,ARE,2018,15.75
United Arab Emirates,ARE,2020,17.73
United Arab Emirates,ARE,2021,23.57
United Arab Emirates,ARE,2022,23.46
United Kingdom,GBR,2000,34.69
United Kingdom,GBR,2001,29.62
United Kingdom,GBR,2002,31.39
United Kingdom,GBR,2003,31.47
United Kingdom,GBR,2004,32.46
United Kingdom,GBR,2005,33.65
United Kingdom,GBR,2006,34.54
United Kingdom,GBR,2007,34.22
United Kingdom,GBR,2008,33.87
United Kingdom,GBR,2009,36.46
United Kingdom,GBR,2010,36.45
United Kingdom,GBR,2011,31.8
United Kingdom,GBR,2012,32.65
United Kingdom,GBR,2013,31.93
United Kingdom,GBR,2014,32.17
United Kingdom,GBR,2015,33.2
United Kingdom,GBR,2016,32.91
United Kingdom,GBR,2017,33.62
United Kingdom,GBR,2018,34.59
United Kingdom,GBR,2019,35.37
United States,USA,2003,37.38
United States,USA,2004,37.27
United States,USA,2005,37.56
United States,USA,2006,36.95
United States,USA,2007,37.95
United States,USA,2008,37.95
United States,USA,2009,38.07
United States,USA,2010,38.8
United States,USA,2011,38.59
United States,USA,2012,39.07
United States,USA,2013,38.75
United States,USA,2014,38.8
United States,USA,2015,39.37
United States,USA,2016,39.73
United States,USA,2017,40.53
United States,USA,2018,40.47
United States,USA,2019,40.85
United States,USA,2020,42.29
United States,USA,2021,43.2
United States,USA,2022,42.83
United States,USA,2023,44.36
Uruguay,URY,2001,15.09
Uruguay,URY,2002,13.71
Uruguay,URY,2003,13.26
Uruguay,URY,2004,11.39
Uruguay,URY,2005,17.28
Uruguay,URY,2006,13.72
Uruguay,URY,2007,22.12
Uruguay,URY,2008,17.88
Uruguay,URY,2009,22.52
Uruguay,URY,2010,23.65
Uruguay,URY,2011,31.24
Uruguay,URY,2012,36.47
Uruguay,URY,2013,34.18
Uruguay,URY,2014,31.8
Uruguay,URY,2015,34.01
Uruguay,URY,2016,33.67
Uruguay,URY,2017,35.05
Uruguay,URY,2018,37.27
Uruguay,URY,2019,36.51
Uruguay,URY,2020,39.88
Uruguay,URY,2021,39.82
Uruguay,URY,2022,35.93
Vanuatu,VUT,2006,15.65
Vanuatu,VUT,2009,28.54
Vanuatu,VUT,2019,22.55
Vanuatu,VUT,2020,36.21
Vietnam,VNM,2007,16.33
Vietnam,VNM,2010,8.26
Vietnam,VNM,2011,10.98
Vietnam,VNM,2012,12.94
Vietnam,VNM,2013,8.13
Vietnam,VNM,2014,11.23
Vietnam,VNM,2015,13.57
Vietnam,VNM,2016,15.31
Vietnam,VNM,2017,14.55
Vietnam,VNM,2018,14.82
Vietnam,VNM,2019,14.56
Vietnam,VNM,2020,22.73
Vietnam,VNM,2021,15.51
Vietnam,VNM,2022,17.07
Wallis and Futuna,WLF,2019,25.08
Yemen,YEM,2014,4.5
Zambia,ZMB,2017,29.59
Zambia,ZMB,2018,40.21
Zambia,ZMB,2019,29.95
Zambia,ZMB,2020,39.62
Zambia,ZMB,2021,39.51
Zambia,ZMB,2022,36.46
Zimbabwe,ZWE,2011,22.76
Zimbabwe,ZWE,2019,28.07
Zimbabwe,ZWE,2021,28.15
